# redshift	D_L [Mpc]
1.28264983e-01	5.99661138e+02
1.30953502e-01	6.13324236e+02
1.33698374e-01	6.27317904e+02
1.36500781e-01	6.41650806e+02
1.39361927e-01	6.56331853e+02
1.42283046e-01	6.71370209e+02
1.45265393e-01	6.86775300e+02
1.48310251e-01	7.02556822e+02
1.51418933e-01	7.18724746e+02
1.54592774e-01	7.35289332e+02
1.57833141e-01	7.52261131e+02
1.61141428e-01	7.69650998e+02
1.64519059e-01	7.87470102e+02
1.67967487e-01	8.05729930e+02
1.71488197e-01	8.24442301e+02
1.75082703e-01	8.43619376e+02
1.78752553e-01	8.63273663e+02
1.82499324e-01	8.83418036e+02
1.86324631e-01	9.04065735e+02
1.90230119e-01	9.25230386e+02
1.94217468e-01	9.46926008e+02
1.98288395e-01	9.69167024e+02
2.02444651e-01	9.91968276e+02
2.06688025e-01	1.01534503e+03
2.11020343e-01	1.03931300e+03
2.15443469e-01	1.06388836e+03
2.19959307e-01	1.08908772e+03
2.24569800e-01	1.11492822e+03
2.29276931e-01	1.14142744e+03
2.34082728e-01	1.16860352e+03
2.38989257e-01	1.19647508e+03
2.43998630e-01	1.22506131e+03
2.49113003e-01	1.25438193e+03
2.54334576e-01	1.28445723e+03
2.59665597e-01	1.31530810e+03
2.65108360e-01	1.34695601e+03
2.70665207e-01	1.37942307e+03
2.76338529e-01	1.41273200e+03
2.82130768e-01	1.44690617e+03
2.88044415e-01	1.48196963e+03
2.94082017e-01	1.51794713e+03
3.00246171e-01	1.55486408e+03
3.06539530e-01	1.59274665e+03
3.12964801e-01	1.63162174e+03
3.19524751e-01	1.67151701e+03
3.26222201e-01	1.71246089e+03
3.33060034e-01	1.75448264e+03
3.40041193e-01	1.79761231e+03
3.47168682e-01	1.84188080e+03
3.54445567e-01	1.88731988e+03
3.61874981e-01	1.93396221e+03
3.69460121e-01	1.98184133e+03
3.77204249e-01	2.03099173e+03
3.85110700e-01	2.08144884e+03
3.93182876e-01	2.13324908e+03
4.01424249e-01	2.18642984e+03
4.09838367e-01	2.24102956e+03
4.18428851e-01	2.29708769e+03
4.27199397e-01	2.35464477e+03
4.36153779e-01	2.41374242e+03
4.45295851e-01	2.47442340e+03
4.54629547e-01	2.53673157e+03
4.64158883e-01	2.60071201e+03
4.73887961e-01	2.66641093e+03
4.83820966e-01	2.73387582e+03
4.93962174e-01	2.80315537e+03
5.04315949e-01	2.87429955e+03
5.14886745e-01	2.94735965e+03
5.25679112e-01	3.02238825e+03
5.36697695e-01	3.09943930e+03
5.47947234e-01	3.17856813e+03
5.59432571e-01	3.25983148e+03
5.71158648e-01	3.34328751e+03
5.83130511e-01	3.42899584e+03
5.95353313e-01	3.51701761e+03
6.07832313e-01	3.60741545e+03
6.20572881e-01	3.70025356e+03
6.33580499e-01	3.79559770e+03
6.46860766e-01	3.89351526e+03
6.60419396e-01	3.99407525e+03
6.74262224e-01	4.09734837e+03
6.88395207e-01	4.20340701e+03
7.02824426e-01	4.31232528e+03
7.17556092e-01	4.42417908e+03
7.32596543e-01	4.53904609e+03
7.47952252e-01	4.65700584e+03
7.63629826e-01	4.77813968e+03
7.79636013e-01	4.90253092e+03
7.95977700e-01	5.03026474e+03
8.12661920e-01	5.16142833e+03
8.29695852e-01	5.29611087e+03
8.47086827e-01	5.43440357e+03
8.64842328e-01	5.57639974e+03
8.82969996e-01	5.72219478e+03
9.01477631e-01	5.87188628e+03
9.20373200e-01	6.02557398e+03
9.39664831e-01	6.18335990e+03
9.59360829e-01	6.34534832e+03
9.79469667e-01	6.51164583e+03
1.00000000e+00	6.68236141e+03
1.02096066e+00	6.85760645e+03
1.04236067e+00	7.03749479e+03
1.06420924e+00	7.22214277e+03
1.08651577e+00	7.41166932e+03
1.10928986e+00	7.60619594e+03
1.13254132e+00	7.80584683e+03
1.15628013e+00	8.01074888e+03
1.18051653e+00	8.22103176e+03
1.20526094e+00	8.43682797e+03
1.23052400e+00	8.65827290e+03
1.25631660e+00	8.88550489e+03
1.28264983e+00	9.11866529e+03
1.30953502e+00	9.35789853e+03
1.33698374e+00	9.60335220e+03
1.36500781e+00	9.85517706e+03
1.39361927e+00	1.01135272e+04
1.42283046e+00	1.03785601e+04
1.45265393e+00	1.06504365e+04
1.48310251e+00	1.09293208e+04
1.51418933e+00	1.12153810e+04
1.54592774e+00	1.15087888e+04
1.57833141e+00	1.18097193e+04
1.61141428e+00	1.21183520e+04
1.64519059e+00	1.24348699e+04
1.67967487e+00	1.27594601e+04
1.71488197e+00	1.30923140e+04
1.75082703e+00	1.34336268e+04
1.78752553e+00	1.37835985e+04
1.82499324e+00	1.41424331e+04
1.86324631e+00	1.45103393e+04
1.90230119e+00	1.48875303e+04
1.94217468e+00	1.52742240e+04
1.98288395e+00	1.56706433e+04
2.02444651e+00	1.60770157e+04
2.06688025e+00	1.64935741e+04
2.11020343e+00	1.69205562e+04
2.15443469e+00	1.73582053e+04
2.19959307e+00	1.78067699e+04
2.24569800e+00	1.82665041e+04
2.29276931e+00	1.87376674e+04
2.34082728e+00	1.92205255e+04
2.38989257e+00	1.97153497e+04
